,date,open,high,low,close,volume
120,2019-10-31,62.62,63.80,62.60,62.99,184247.0
121,2019-11-01,63.26,63.29,61.96,62.66,238374.0
122,2019-11-04,62.96,64.39,61.85,63.49,346784.0
123,2019-11-05,63.92,64.70,63.22,63.44,235365.0
124,2019-11-06,63.54,65.35,62.90,65.32,307518.0
125,2019-11-07,65.83,68.30,65.61,67.11,553634.0
126,2019-11-08,66.90,67.49,66.50,67.43,229592.0
127,2019-11-11,68.79,69.84,68.40,69.02,370270.0
128,2019-11-12,69.35,70.07,68.81,69.99,272727.0
129,2019-11-13,70.95,71.26,69.04,69.22,300103.0
130,2019-11-14,69.30,70.77,68.58,69.87,219818.0
131,2019-11-15,70.13,70.56,69.67,70.43,170896.0
132,2019-11-18,70.46,70.63,69.22,70.00,151329.0
133,2019-11-19,70.28,72.00,69.56,71.90,284864.0
134,2019-11-20,72.00,72.24,69.92,70.44,218216.0
135,2019-11-21,70.90,72.17,70.80,70.96,201786.0
136,2019-11-22,68.03,68.20,66.00,66.61,585771.0
137,2019-11-25,68.86,68.92,66.89,67.27,415659.0
138,2019-11-26,67.06,67.10,65.42,65.79,268296.0
139,2019-11-27,66.22,66.79,65.71,66.26,194361.0
140,2019-11-29,66.22,66.25,65.50,65.99,82909.0
141,2019-12-02,65.88,67.28,65.74,66.97,212790.0
142,2019-12-03,66.53,67.58,66.43,67.24,228660.0
143,2019-12-04,67.55,67.57,66.57,66.61,166957.0
144,2019-12-05,66.57,66.89,65.45,66.07,121796.0
145,2019-12-06,67.02,67.77,66.96,67.18,279021.0
146,2019-12-09,67.32,68.89,67.01,67.90,308993.0
147,2019-12-10,67.99,70.14,67.86,69.77,307186.0
148,2019-12-11,70.38,71.44,70.22,70.54,241669.0
149,2019-12-12,70.99,72.55,70.64,71.93,277960.0
150,2019-12-13,72.21,73.04,70.93,71.68,233175.0
151,2019-12-16,72.51,76.72,72.50,76.30,619084.0
152,2019-12-17,75.80,77.10,75.18,75.80,279966.0
153,2019-12-18,76.12,79.04,76.11,78.63,502358.0
154,2019-12-19,79.46,81.37,79.30,80.81,626051.0
155,2019-12-20,82.06,82.60,80.04,81.12,489812.0
156,2019-12-23,82.37,84.40,82.00,83.85,469985.0
157,2019-12-24,83.68,85.10,82.54,85.05,291226.0
158,2019-12-26,85.58,86.69,85.27,86.19,381753.0
159,2019-12-27,87.00,87.06,85.22,86.07,349315.0
160,2019-12-30,85.76,85.80,81.85,82.94,454117.0
161,2019-12-31,81.04,84.26,80.42,83.67,368238.0
162,2020-01-02,84.90,86.14,84.34,86.05,335936.0
163,2020-01-03,88.10,90.80,87.39,88.60,620278.0
164,2020-01-06,88.10,90.31,88.00,90.31,362051.0
165,2020-01-07,92.24,94.32,90.67,93.81,624955.0
166,2020-01-08,94.78,99.70,93.64,98.43,1107573.0
167,2020-01-09,99.42,99.76,94.57,96.27,970368.0
168,2020-01-10,96.32,96.99,94.74,95.63,449475.0
169,2020-01-13,98.76,105.12,98.40,104.97,947426.0
170,2020-01-14,108.85,109.48,104.98,107.58,971720.0
171,2020-01-15,105.89,107.57,103.36,103.70,598103.0
172,2020-01-16,98.79,102.89,98.43,102.70,718557.0
173,2020-01-17,101.49,103.14,100.63,102.10,459470.0
174,2020-01-21,106.05,109.71,105.68,109.44,585553.0
175,2020-01-22,114.29,118.90,111.82,113.91,1024286.0
176,2020-01-23,112.78,116.40,111.12,114.44,641784.0
177,2020-01-24,114.25,114.77,110.85,112.96,466432.0
178,2020-01-27,108.40,112.89,107.86,111.61,428394.0
179,2020-01-28,113.70,115.36,111.61,113.38,393312.0
180,2020-01-29,115.14,117.96,113.49,116.20,455211.0
181,2020-01-30,126.49,130.18,123.60,128.16,841772.0
182,2020-01-31,128.00,130.60,126.50,130.12,502243.0
183,2020-02-03,134.74,157.23,134.71,156.00,1519188.0
184,2020-02-04,176.55,193.80,166.77,177.41,1665260.0
185,2020-02-05,164.65,169.20,140.82,146.94,1472666.0
186,2020-02-06,139.99,159.16,137.40,149.79,1237510.0
187,2020-02-07,146.11,153.95,146.00,149.62,532200.0
188,2020-02-10,160.08,164.00,150.48,154.26,760392.0
189,2020-02-11,153.78,156.70,151.60,154.88,367693.0
190,2020-02-12,155.57,157.95,152.68,153.46,363907.0
191,2020-02-13,148.32,163.60,147.00,160.80,822075.0
192,2020-02-14,157.48,162.60,157.10,160.01,486181.0
193,2020-02-18,168.33,172.00,166.47,171.68,493082.0
194,2020-02-19,184.63,188.96,180.21,183.49,782427.0
195,2020-02-20,182.32,182.40,171.99,179.88,578987.0
196,2020-02-21,181.40,182.61,176.09,180.20,463873.0
197,2020-02-24,167.68,172.70,164.44,166.76,459516.0
198,2020-02-25,169.89,171.32,157.40,159.98,541771.0
199,2020-02-26,156.60,162.66,155.22,155.76,422191.0
200,2020-02-27,146.18,147.96,133.80,135.80,781009.0
201,2020-02-28,125.60,138.10,122.31,133.60,795204.0
202,2020-03-02,142.30,148.74,137.34,148.73,633055.0
203,2020-03-03,161.02,161.40,143.22,149.10,770621.0
204,2020-03-04,152.90,153.30,144.95,149.90,480431.0
205,2020-03-05,144.74,149.15,143.62,144.91,341020.0
206,2020-03-06,138.36,141.40,136.85,140.70,386915.0
207,2020-03-09,121.08,132.60,121.00,121.60,539094.0
208,2020-03-10,132.00,133.60,121.60,129.07,510182.0
209,2020-03-11,128.04,130.71,122.60,126.85,448536.0
210,2020-03-12,116.10,118.90,109.25,112.11,612507.0
211,2020-03-13,119.01,121.51,100.40,109.32,753225.0
212,2020-03-16,93.70,98.97,88.43,89.01,691862.0
213,2020-03-17,88.00,94.37,79.20,86.04,839104.0
214,2020-03-18,77.85,80.97,70.10,72.25,839684.0
215,2020-03-19,74.94,90.40,71.69,85.53,1044740.0
216,2020-03-20,87.76,95.40,85.16,85.50,975245.0
217,2020-03-23,86.70,88.40,82.10,86.86,565322.0
218,2020-03-24,95.43,102.74,94.80,101.00,753044.0
219,2020-03-25,109.00,111.40,102.22,107.85,678857.0
220,2020-03-26,109.48,112.00,102.45,105.63,571049.0
221,2020-03-27,101.00,105.16,98.81,102.87,464588.0
222,2020-03-30,102.05,103.33,98.25,100.43,378275.0
223,2020-03-31,100.25,108.59,99.40,104.80,579334.0
224,2020-04-01,100.80,102.79,95.02,96.31,436106.0
225,2020-04-02,96.26,98.85,89.28,90.89,542589.0
226,2020-04-03,101.96,103.10,93.68,96.00,754921.0
227,2020-04-06,102.24,104.20,99.59,103.25,468543.0
228,2020-04-07,109.00,113.00,106.47,109.09,600084.0
229,2020-04-08,110.80,111.44,106.67,109.77,435233.0
230,2020-04-09,112.47,115.04,111.42,114.60,438826.0
231,2020-04-13,118.22,130.40,116.11,130.19,734765.0
232,2020-04-14,139.78,148.38,138.49,141.98,941623.0
233,2020-04-15,148.40,150.62,142.00,145.96,720851.0
